a_median,a_pct10,a_pct90,h_median,h_pct10,h_pct90,occ_code,occ_title,tot_emp,year,job,state,monthly rent,monthly mortgage
41780,25960,78930,20.08,12.48,37.95,13-1071,"Employment, recruitment, and placement specialists",181260,2005,HR Specialists,Tennessee,139.1449164,319.8344449
41780,25960,78930,20.08,12.48,37.95,13-1071,"Employment, recruitment, and placement specialists",181260,2005,HR Specialists,Texas,195.8577886,336.3517471
41780,25960,78930,20.08,12.48,37.95,13-1071,"Employment, recruitment, and placement specialists",181260,2005,HR Specialists,Utah,174.511713,471.5010188
41780,25960,78930,20.08,12.48,37.95,13-1071,"Employment, recruitment, and placement specialists",181260,2005,HR Specialists,Vermont,150.8106478,317.8416387
41780,25960,78930,20.08,12.48,37.95,13-1071,"Employment, recruitment, and placement specialists",181260,2005,HR Specialists,Virginia,221.5173315,561.4465076
41780,25960,78930,20.08,12.48,37.95,13-1071,"Employment, recruitment, and placement specialists",181260,2005,HR Specialists,Washington,239.8669022,509.5437223
41780,25960,78930,20.08,12.48,37.95,13-1071,"Employment, recruitment, and placement specialists",181260,2005,HR Specialists,West Virginia,76.31391467,195.411091
41780,25960,78930,20.08,12.48,37.95,13-1071,"Employment, recruitment, and placement specialists",181260,2005,HR Specialists,Wisconsin,157.1701681,375.9728821
41780,25960,78930,20.08,12.48,37.95,13-1071,"Employment, recruitment, and placement specialists",181260,2005,HR Specialists,Wyoming,122.1068284,290.1092652
44210,25950,83740,21.26,12.48,40.26,13-2081,"Tax examiners, collectors, and revenue agents",72290,2005,Tax Examiners,Alabama,111.0892519,267.3391663
44210,25950,83740,21.26,12.48,40.26,13-2081,"Tax examiners, collectors, and revenue agents",72290,2005,Tax Examiners,Alaska,244.5242588,458.8508614
44210,25950,83740,21.26,12.48,40.26,13-2081,"Tax examiners, collectors, and revenue agents",72290,2005,Tax Examiners,Arizona,194.7916067,420.6199523
44210,25950,83740,21.26,12.48,40.26,13-2081,"Tax examiners, collectors, and revenue agents",72290,2005,Tax Examiners,Arkansas,114.3899552,226.4274307
44210,25950,83740,21.26,12.48,40.26,13-2081,"Tax examiners, collectors, and revenue agents",72290,2005,Tax Examiners,California,385.2692788,642.379108
44210,25950,83740,21.26,12.48,40.26,13-2081,"Tax examiners, collectors, and revenue agents",72290,2005,Tax Examiners,Colorado,219.8878622,552.6663813
44210,25950,83740,21.26,12.48,40.26,13-2081,"Tax examiners, collectors, and revenue agents",72290,2005,Tax Examiners,Connecticut,225.6301148,654.1098603
44210,25950,83740,21.26,12.48,40.26,13-2081,"Tax examiners, collectors, and revenue agents",72290,2005,Tax Examiners,Delaware,172.4070036,414.4066997
44210,25950,83740,21.26,12.48,40.26,13-2081,"Tax examiners, collectors, and revenue agents",72290,2005,Tax Examiners,District of Columbia,462.2194047,421.2349083
44210,25950,83740,21.26,12.48,40.26,13-2081,"Tax examiners, collectors, and revenue agents",72290,2005,Tax Examiners,Florida,205.6823424,396.8712982
44210,25950,83740,21.26,12.48,40.26,13-2081,"Tax examiners, collectors, and revenue agents",72290,2005,Tax Examiners,Georgia,188.7291087,414.2821412
44210,25950,83740,21.26,12.48,40.26,13-2081,"Tax examiners, collectors, and revenue agents",72290,2005,Tax Examiners,Hawaii,348.036211,523.7216651
44210,25950,83740,21.26,12.48,40.26,13-2081,"Tax examiners, collectors, and revenue agents",72290,2005,Tax Examiners,Idaho,137.5290755,369.8252087
44210,25950,83740,21.26,12.48,40.26,13-2081,"Tax examiners, collectors, and revenue agents",72290,2005,Tax Examiners,Illinois,196.5915163,489.0426312
44210,25950,83740,21.26,12.48,40.26,13-2081,"Tax examiners, collectors, and revenue agents",72290,2005,Tax Examiners,Indiana,141.5059493,350.3242564
44210,25950,83740,21.26,12.48,40.26,13-2081,"Tax examiners, collectors, and revenue agents",72290,2005,Tax Examiners,Iowa,120.0724922,304.3595528
44210,25950,83740,21.26,12.48,40.26,13-2081,"Tax examiners, collectors, and revenue agents",72290,2005,Tax Examiners,Kansas,145.584708,342.4691756
44210,25950,83740,21.26,12.48,40.26,13-2081,"Tax examiners, collectors, and revenue agents",72290,2005,Tax Examiners,Kentucky,113.8319335,283.1820172
44210,25950,83740,21.26,12.48,40.26,13-2081,"Tax examiners, collectors, and revenue agents",72290,2005,Tax Examiners,Louisiana,126.1349264,253.8938749
44210,25950,83740,21.26,12.48,40.26,13-2081,"Tax examiners, collectors, and revenue agents",72290,2005,Tax Examiners,Maine,129.5054539,284.8245746
44210,25950,83740,21.26,12.48,40.26,13-2081,"Tax examiners, collectors, and revenue agents",72290,2005,Tax Examiners,Maryland,242.0786214,636.5086426
44210,25950,83740,21.26,12.48,40.26,13-2081,"Tax examiners, collectors, and revenue agents",72290,2005,Tax Examiners,Massachusetts,285.8527399,580.8829423
44210,25950,83740,21.26,12.48,40.26,13-2081,"Tax examiners, collectors, and revenue agents",72290,2005,Tax Examiners,Michigan,139.8788102,407.4123917
44210,25950,83740,21.26,12.48,40.26,13-2081,"Tax examiners, collectors, and revenue agents",72290,2005,Tax Examiners,Minnesota,155.0544967,518.6016242
44210,25950,83740,21.26,12.48,40.26,13-2081,"Tax examiners, collectors, and revenue agents",72290,2005,Tax Examiners,Mississippi,105.7812676,232.363676
44210,25950,83740,21.26,12.48,40.26,13-2081,"Tax examiners, collectors, and revenue agents",72290,2005,Tax Examiners,Missouri,131.7423112,336.9607319
44210,25950,83740,21.26,12.48,40.26,13-2081,"Tax examiners, collectors, and revenue agents",72290,2005,Tax Examiners,Montana,131.7908258,275.5119019
44210,25950,83740,21.26,12.48,40.26,13-2081,"Tax examiners, collectors, and revenue agents",72290,2005,Tax Examiners,Nebraska,144.2831864,327.1670908
44210,25950,83740,21.26,12.48,40.26,13-2081,"Tax examiners, collectors, and revenue agents",72290,2005,Tax Examiners,Nevada,286.8578391,514.3074548
44210,25950,83740,21.26,12.48,40.26,13-2081,"Tax examiners, collectors, and revenue agents",72290,2005,Tax Examiners,New Hampshire,186.1365135,490.2785333
44210,25950,83740,21.26,12.48,40.26,13-2081,"Tax examiners, collectors, and revenue agents",72290,2005,Tax Examiners,New Jersey,273.7429557,662.8223083
44210,25950,83740,21.26,12.48,40.26,13-2081,"Tax examiners, collectors, and revenue agents",72290,2005,Tax Examiners,New Mexico,144.1694958,305.1349616
44210,25950,83740,21.26,12.48,40.26,13-2081,"Tax examiners, collectors, and revenue agents",72290,2005,Tax Examiners,New York,346.1386742,429.3132824
44210,25950,83740,21.26,12.48,40.26,13-2081,"Tax examiners, collectors, and revenue agents",72290,2005,Tax Examiners,North Carolina,155.0519406,337.397214
