CONAME,DIST,DISTNAME,salary_2018,salary_2017,salary_2016
Burlington,4740,Shamong Township,"$73,412 ","$68,497","$56,896"
Monmouth,2290,Howell Township,"$73,375 ","$69,500","$67,500"
Somerset,555,Bridgewater-Raritan Reg,"$73,371 ","$72,319","$66,273"
Morris,2870,Madison Borough,"$73,321 ","$71,963","$69,425"
Essex,4900,South Orange-Maplewood,"$73,098 ","$78,213","$74,698"
Bergen,4870,South Hackensack Township,"$73,033 ",,"$71,046"
Morris,3950,Parsippany-Troy Hills Township,"$73,024 ","$71,485","$68,400"
Middlesex,3845,Old Bridge Township,"$72,923 ","$70,788","$65,651"
Morris,5660,West Morris Regional,"$72,890 ","$72,525","$67,470"
Monmouth,3160,Middletown Township,"$72,754 ","$75,640","$74,152"
Ocean,770,Central Regional,"$72,679 ","$70,186","$67,010"
Mercer,1950,Hamilton Township,"$72,666 ","$68,840","$64,794"
Hunterdon,1160,East Amwell Township,"$72,640 ","$65,465","$65,153"
Bergen,1760,Glen Rock Borough,"$72,627 ","$69,658","$66,850"
Warren,1870,Hackettstown,"$72,565 ","$69,825","$65,160"
Morris,3365,Morris County Vocational,"$72,415 ","$71,759","$69,719"
Union,2420,Kenilworth Borough,"$72,398 ","$72,866","$68,549"
Hunterdon,3660,N Hunt/Voorhees Regional,"$72,115 ","$68,345","$67,200"
Bergen,1370,Englewood City,"$72,006 ","$70,045","$67,810"
Monmouth,4760,Shore Regional,"$72,000 ","$70,000","$70,000"
Bergen,5920,Wyckoff Township,"$71,953 ","$69,331","$66,838"
Bergen,2050,Harrington Park Borough,"$71,805 ","$63,866","$63,056"
Bergen,3730,Northvale Borough,"$71,801 ","$70,257","$68,080"
Union,5000,Springfield Township,"$71,799 ","$70,379","$68,724"
Somerset,4815,Somerset Hills Regional,"$71,735 ","$69,410","$66,930"
Hudson,2210,Hoboken City,"$71,670 ","$79,077","$79,614"
Warren,2790,Lopatcong Township,"$71,618 ","$69,419","$67,002"
Burlington,4320,Rancocas Valley Regional,"$71,464 ","$69,328","$65,212"
Somerset,240,Bedminster Township,"$71,416 ","$66,610","$66,440"
Morris,4330,Randolph Township,"$71,410 ","$73,700","$71,510"
Camden,5035,Sterling High School Dist,"$71,395 ","$67,150","$62,800"
Passaic,5200,Totowa Borough,"$71,355 ","$78,077","$64,883"
Burlington,1420,Evesham Township,"$71,224 ","$66,096","$65,754"
Camden,5400,Voorhees Township,"$71,224 ","$69,637","$65,646"
Essex,250,Belleville Town,"$71,176 ","$71,217","$71,217"
Morris,1990,Hanover Park Regional,"$71,134 ","$68,636","$66,252"
Bergen,3330,Montvale Borough,"$71,110 ","$70,685","$67,572"
Bergen,3760,Oakland Borough,"$71,065 ","$70,547","$73,275"
Cape May,3680,North Wildwood City,"$70,899 ","$68,499","$66,337"
Union,3560,New Providence Borough,"$70,889 ","$69,402","$65,286"
Gloucester,4020,Paulsboro Borough,"$70,874 ","$58,150","$66,973"
Union,5290,Union Township,"$70,849 ","$71,223","$69,743"
Hudson,5240,Union City,"$70,830 ","$68,430","$66,050"
Gloucester,5500,Washington Township,"$70,818 ","$64,215","$66,275"
Monmouth,4690,Sea Girt Borough,"$70,785 ","$65,185","$60,750"
Monmouth,3030,Marlboro Township,"$70,720 ","$66,420","$69,320"
Union,4290,Rahway City,"$70,653 ","$66,760","$67,679"
Gloucester,2070,Harrison Township,"$70,625 ","$58,525","$58,525"
Middlesex,4830,South Amboy City,"$70,622 ","$75,662","$69,172"
Warren,2970,Mansfield Township,"$70,534 ","$72,314","$72,234"
Monmouth,4570,Rumson Borough,"$70,510 ","$68,370","$66,970"
Morris,3385,Morris School District,"$70,484 ","$69,172","$69,671"
Mercer,1245,East Windsor Regional,"$70,480 ","$70,654","$68,722"
Gloucester,5740,Westville Borough,"$70,470 ","$69,715","$71,065"
Morris,3100,Mendham Township,"$70,448 ","$64,620","$67,270"
Sussex,2615,Lenape Valley Regional,"$70,250 ","$70,250","$70,000"
Hudson,2410,Kearny Town,"$70,225 ","$71,225","$63,589"
Bergen,2900,Mahwah Township,"$70,199 ","$68,170","$70,340"
Essex,5370,Verona Borough,"$70,161 ","$69,527","$70,758"
Morris,3450,Mount Olive Township,"$69,976 ","$71,445","$69,926"
Morris,4080,Pequannock Township,"$69,915 ","$65,870","$66,210"
Burlington,840,Cinnaminson Township,"$69,873 ","$68,000","$67,753"
