GeoFIPS,GeoName,Region,TableName,LineCode,IndustryClassification,Description,Unit,1969,1970,1971,1972,1973,1974,1975,1976,1977,1978,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019
 "04007","Gila, AZ",6,CAINC1,3,"...","Per capita personal income (dollars) 2/","Dollars",2534,2945,2997,3596,4284,4341,4884,4991,5551,6087,6825,7473,8828,8670,8967,9876,10544,10833,11311,12376,13066,13771,14310,14969,15642,16436,16271,17351,17847,18684,19082,19642,20470,20962,22256,23324,24738,26488,28128,30019,30286,30351,31529,31826,32729,34341,35876,36443,38777,39929,41217
 "04009","Graham, AZ",6,CAINC1,1,"...","Personal income (thousands of dollars)","Thousands of dollars",39973,48406,51766,59798,78165,84474,78623,94632,99896,115356,130407,147892,167357,164314,174541,195259,193400,205046,222106,243881,263973,283781,305961,334369,353718,379857,394896,433656,464160,476133,483056,503715,512457,533256,570270,603238,653312,720926,806273,938646,896233,911325,945237,988830,1022346,1099242,1101268,1092457,1129769,1185241,1238695
 "04009","Graham, AZ",6,CAINC1,2,"...","Population (persons) 1/","Number of persons",16200,16722,17452,17577,18682,19959,19721,20897,21045,20675,21251,22920,23133,23830,23943,24536,24574,24415,25204,25612,26213,26611,27339,27972,28966,29657,30587,31503,32203,32795,33279,33511,33356,33224,32985,32703,32964,33701,35175,36639,37525,37152,37126,37015,37433,38099,37860,37807,37481,37995,38837
 "04009","Graham, AZ",6,CAINC1,3,"...","Per capita personal income (dollars) 2/","Dollars",2467,2895,2966,3402,4184,4232,3987,4528,4747,5579,6137,6453,7235,6895,7290,7958,7870,8398,8812,9522,10070,10664,11191,11954,12211,12808,12911,13766,14414,14518,14515,15031,15363,16050,17289,18446,19819,21392,22922,25619,23884,24530,25460,26714,27311,28852,29088,28896,30142,31195,31895
 "04011","Greenlee, AZ",6,CAINC1,1,"...","Personal income (thousands of dollars)","Thousands of dollars",34768,41791,41763,48419,60135,63019,66104,69282,68952,79009,91768,95871,113236,84940,95902,98620,86871,87417,89178,94681,101485,110779,120691,131729,135724,143610,162040,173750,181627,184483,178989,203530,177723,166540,171927,177866,193140,216409,242050,287644,254392,252109,267195,273517,313071,340037,330375,329300,347933,381153,401731
 "04011","Greenlee, AZ",6,CAINC1,2,"...","Population (persons) 1/","Number of persons",10200,10477,11171,11236,11610,12353,12159,11919,11859,12065,12220,11422,11478,11747,10694,10204,9052,8407,8273,8105,7839,8029,8265,8571,8747,8803,8920,9034,9081,8919,8535,8547,8349,7831,7567,7549,7595,7838,8205,8561,8635,8339,8585,8764,8916,9349,9577,9643,9443,9448,9498
 "04011","Greenlee, AZ",6,CAINC1,3,"...","Per capita personal income (dollars) 2/","Dollars",3409,3989,3739,4309,5180,5102,5437,5813,5814,6549,7510,8394,9865,7231,8968,9665,9597,10398,10779,11682,12946,13797,14603,15369,15517,16314,18166,19233,20001,20684,20971,23813,21287,21267,22721,23562,25430,27610,29500,33599,29461,30233,31123,31209,35113,36371,34497,34149,36846,40342,42296
 "04012","La Paz, AZ*",6,CAINC1,1,"...","Personal income (thousands of dollars)","Thousands of dollars",(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),90305,103130,120365,125948,152085,169176,175962,186949,192498,195120,220757,222910,243046,257481,272546,279523,311009,310680,344512,355111,399746,420373,449033,462693,506598,529215,514354,517723,570140,552804,563777,561564,611925,644213,646651,678882,717797
 "04012","La Paz, AZ*",6,CAINC1,2,"...","Population (persons) 1/","Number of persons",(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),13034,13831,13650,13405,13513,13362,13807,13964,14314,14668,15180,15894,16562,17547,18277,18859,19355,19611,19580,19464,19722,19979,20379,20573,20647,20555,20514,20497,20604,20521,20522,20516,20466,20648,20706,21039,21108
 "04012","La Paz, AZ*",6,CAINC1,3,"...","Per capita personal income (dollars) 2/","Dollars",(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),6928,7456,8818,9396,11255,12661,12744,13388,13448,13302,14543,14025,14675,14674,14912,14822,16069,15842,17595,18245,20269,21041,22034,22490,24536,25746,25073,25258,27671,26938,27472,27372,29900,31200,31230,32268,34006
 "04013","Maricopa, AZ",6,CAINC1,1,"...","Personal income (thousands of dollars)","Thousands of dollars",3685342,4211271,4777731,5494258,6363258,7179432,7737225,8653670,9868249,11744025,13949127,16184704,18511157,19862535,22114650,25233318,28445200,31220179,33734340,36453813,39126842,41000406,42819280,45669657,48886021,53975852,59572970,65222145,71386410,78478904,83151056,91194456,93676159,97008164,102334338,112607513,125549681,140415424,147187757,145079935,135930035,138119198,145670123,154410001,158271268,168704501,178861076,187238567,198035349,211812685,222943072
 "04013","Maricopa, AZ",6,CAINC1,2,"...","Population (persons) 1/","Number of persons",946000,980133,1026421,1087211,1156753,1217419,1253869,1280015,1329837,1388892,1456853,1520840,1566036,1611847,1663973,1736952,1828748,1905504,1991400,2048441,2101787,2132249,2198219,2272582,2359883,2475159,2598183,2703078,2805009,2909040,3004985,3092197,3175989,3255388,3328468,3417860,3538988,3642884,3711954,3771061,3803779,3825110,3874996,3947505,4017723,4093648,4172905,4256143,4327184,4402403,4485414
 "04013","Maricopa, AZ",6,CAINC1,3,"...","Per capita personal income (dollars) 2/","Dollars",3896,4297,4655,5054,5501,5897,6171,6761,7421,8456,9575,10642,11820,12323,13290,14527,15554,16384,16940,17796,18616,19229,19479,20096,20715,21807,22929,24129,25450,26978,27671,29492,29495,29799,30745,32947,35476,38545,39652,38472,35736,36109,37592,39116,39393,41211,42862,43993,45765,48113,49704
 "04015","Mohave, AZ",6,CAINC1,1,"...","Personal income (thousands of dollars)","Thousands of dollars",92060,102490,118683,135971,163490,182255,211573,230847,269381,328934,397496,460917,515652,548776,614716,716005,815304,910427,1001345,1120161,1258408,1445167,1546282,1653450,1797994,1988757,2041225,2196237,2382431,2592204,2757425,2981395,3264188,3463177,3723328,4113418,4508683,4799515,4982036,5088203,5069119,5124399,5171712,5289425,5445864,5789089,6015690,6238434,6630663,6980623,7297603
 "04015","Mohave, AZ",6,CAINC1,2,"...","Population (persons) 1/","Number of persons",24600,26338,28736,31084,34030,36572,39388,42458,43312,46017,51783,56423,58607,62539,64005,67364,70769,75366,77314,82381,87040,95491,102263,108644,115706,122906,130274,136436,140922,145155,150351,156215,160312,166155,172633,180521,188773,196168,199760,200078,199696,200314,202812,203347,203126,203423,204574,205412,207017,209292,212181
 "04015","Mohave, AZ",6,CAINC1,3,"...","Per capita personal income (dollars) 2/","Dollars",3742,3891,4130,4374,4804,4983,5372,5437,6220,7148,7676,8169,8798,8775,9604,10629,11521,12080,12952,13597,14458,15134,15121,15219,15539,16181,15669,16097,16906,17858,18340,19085,20361,20843,21568,22786,23884,24466,24940,25431,25384,25582,25500,26012,26810,28458,29406,30370,32030,33354,34393
 "04017","Navajo, AZ",6,CAINC1,1,"...","Personal income (thousands of dollars)","Thousands of dollars",98117,111229,132706,150506,175408,200497,237699,263227,308594,367504,398733,440601,470691,499008,532319,582586,619082,671975,712588,728927,772714,815205,870337,932609,989510,1057070,1121168,1213166,1270158,1364581,1436537,1484727,1650202,1760405,1938249,1972754,2138480,2287436,2444062,2590650,2691762,2680823,2765615,2789604,2852101,2966564,3060673,3212772,3379788,3541598,3690208
 "04017","Navajo, AZ",6,CAINC1,2,"...","Population (persons) 1/","Number of persons",46500,48246,51231,52356,53573,56516,58750,61039,60804,62961,66410,67482,66833,66910,68893,68693,70714,72600,73793,74609,76579,77921,78706,80350,83642,85422,88432,90646,92910,94824,96100,97689,97849,100123,101529,102774,104184,105624,106927,107626,107571,107697,107552,107313,107135,107701,107638,108467,109079,110242,110924
 "04017","Navajo, AZ",6,CAINC1,3,"...","Per capita personal income (dollars) 2/","Dollars",2110,2305,2590,2875,3274,3548,4046,4312,5075,5837,6004,6529,7043,7458,7727,8481,8755,9256,9657,9770,10090,10462,11058,11607,11830,12375,12678,13384,13671,14391,14948,15199,16865,17582,19091,19195,20526,21656,22857,24071,25023,24892,25714,25995,26622,27544,28435,29620,30985,32126,33268
 "04019","Pima, AZ",6,CAINC1,1,"...","Personal income (thousands of dollars)","Thousands of dollars",1256928,1450771,1674034,1905022,2167818,2420702,2651180,2900858,3209600,3687707,4323806,4977858,5783187,6171947,6720540,7387659,8089874,8778098,9288965,9934583,10668032,10999408,11640270,12330393,13445904,14548118,15521408,16516732,17418989,18818657,19739721,21062835,22810399,23329926,24587317,26101758,28399260,31205288,32971148,34902314,33091224,33444170,34855621,36127005,36652520,38198450,39426771,40721611,43359677,45623879,47604994
 "04019","Pima, AZ",6,CAINC1,2,"...","Population (persons) 1/","Number of persons",345000,355962,380255,407515,428558,443741,459738,471596,483484,497687,523341,535780,552627,568004,582172,592087,602647,621586,640419,656727,664200,668844,679813,698091,719598,745112,768212,783685,798521,813386,828905,848019,859280,874267,885893,901342,920298,940930,955869,967778,975580,981620,988381,993052,997127,1004229,1009103,1016707,1026391,1036554,1047279
 "04019","Pima, AZ",6,CAINC1,3,"...","Per capita personal income (dollars) 2/","Dollars",3643,4076,4402,4675,5058,5455,5767,6151,6638,7410,8262,9291,10465,10866,11544,12477,13424,14122,14505,15127,16061,16445,17123,17663,18685,19525,20205,21076,21814,23136,23814,24838,26546,26685,27754,28959,30859,33164,34493,36064,33920,34070,35265,36380,36758,38038,39071,40052,42245,44015,45456
 "04021","Pinal, AZ",6,CAINC1,1,"...","Personal income (thousands of dollars)","Thousands of dollars",207747,224126,260328,291150,343782,434446,403920,472437,483893,529338,646572,709292,824380,792138,800152,930473,986687,1104294,1227105,1359906,1446757,1474525,1613974,1690947,1837673,1965845,2120153,2324299,2503966,2731903,2958948,3179882,3436080,3660739,3987844,4686873,5630357,6760833,7654797,8845643,8458006,8856646,9311178,9544844,10063146,10694165,11320026,12008208,12907958,13864299,14893430
 "04021","Pinal, AZ",6,CAINC1,2,"...","Population (persons) 1/","Number of persons",67400,69547,73798,76759,80915,84538,83811,86408,87094,87593,89495,91342,92952,96802,97846,100505,103230,107816,111171,114206,115743,116867,120987,126178,131935,138343,145863,152633,158705,165492,173364,181280,187747,197082,207920,219472,235708,271328,306174,335311,349830,379094,378041,382251,385398,395322,405614,417193,431564,446806,462789
 "04021","Pinal, AZ",6,CAINC1,3,"...","Per capita personal income (dollars) 2/","Dollars",3082,3223,3528,3793,4249,5139,4819,5468,5556,6043,7225,7765,8869,8183,8178,9258,9558,10242,11038,11907,12500,12617,13340,13401,13929,14210,14535,15228,15777,16508,17068,17541,18302,18575,19180,21355,23887,24918,25001,26380,24177,23363,24630,24970,26111,27052,27908,28783,29910,31030,32182
 "04023","Santa Cruz, AZ",6,CAINC1,1,"...","Personal income (thousands of dollars)","Thousands of dollars",43174,50179,58670,66677,78507,86121,97886,108034,116363,131583,144485,163043,181583,188629,197203,221408,235475,259722,284176,309791,341009,366874,386908,415588,448410,481724,501170,535873,580867,619375,642762,664565,776878,796176,959405,948452,1037104,1131667,1234197,1290028,1339313,1395160,1462319,1477728,1454052,1533082,1553561,1608442,1728347,1760875,1833258
 "04023","Santa Cruz, AZ",6,CAINC1,2,"...","Population (persons) 1/","Number of persons",13700,14110,14799,15689,16505,17355,17094,17895,18265,18605,19657,20505,20673,21689,21841,22791,23534,24040,25627,26866,28781,29854,30918,32006,33245,34337,35007,35205,36074,36809,37713,38589,39288,40009,40625,41623,42961,44298,45338,46144,47011,47415,47667,47359,46939,46636,46542,46400,46566,46395,46498
 "04023","Santa Cruz, AZ",6,CAINC1,3,"...","Per capita personal income (dollars) 2/","Dollars",3151,3556,3964,4250,4757,4962,5726,6037,6371,7072,7350,7951,8784,8697,9029,9715,10006,10804,11089,11531,11848,12289,12514,12985,13488,14029,14316,15222,16102,16827,17044,17222,19774,19900,23616,22787,24141,25547,27222,27957,28489,29424,30678,31203,30977,32873,33380,34665,37116,37954,39427
 "04025","Yavapai, AZ",6,CAINC1,1,"...","Personal income (thousands of dollars)","Thousands of dollars",123715,144363,171295,203467,241208,263506,299669,332974,384717,449804,517155,617566,713095,760465,840906,948174,1067781,1187527,1275393,1410400,1546082,1658590,1772412,1918275,2084370,2374726,2533393,2752664,2995160,3273829,3422915,3668095,3867731,4008049,4264831,4736637,5322557,5862653,6326132,6437846,6144796,6099712,6335379,6561210,6857455,7446279,7843808,8233333,8817942,9371726,9731391
 "04025","Yavapai, AZ",6,CAINC1,2,"...","Population (persons) 1/","Number of persons",35800,37570,40403,44864,47951,50233,50194,55746,59742,62377,65842,68705,70883,74009,76769,79633,82642,89025,93811,99493,103651,108818,113119,118427,125164,131986,139901,146414,151924,157686,162943,168608,172636,177362,182090,187822,195424,204082,208773,211211,211172,210983,211044,211990,214421,217716,220805,224575,228082,231772,235099
 "04025","Yavapai, AZ",6,CAINC1,3,"...","Per capita personal income (dollars) 2/","Dollars",3456,3843,4240,4535,5030,5246,5970,5973,6440,7211,7854,8989,10060,10275,10954,11907,12921,13339,13595,14176,14916,15242,15669,16198,16653,17992,18108,18801,19715,20762,21007,21755,22404,22598,23422,25219,27236,28727,30301,30481,29099,28911,30019,30951,31981,34202,35524,36662,38661,40435,41393
 "04027","Yuma, AZ*",6,CAINC1,1,"...","Personal income (thousands of dollars)","Thousands of dollars",209506,235094,272044,296854,323703,414496,432086,485479,520645,580758,703048,791920,863428,903925,865388,978765,1084486,1144579,1294495,1436977,1473542,1533564,1688767,1818271,1979645,2014037,2355018,2273318,2454744,2696846,2720911,2884843,3064465,3320946,3587939,4015060,4281382,4529461,4858732,5043056,5115236,5368937,5672331,5611615,5886587,5989668,6435455,6741154,7116699,7408956,7818246
 "04027","Yuma, AZ*",6,CAINC1,2,"...","Population (persons) 1/","Number of persons",59800,61415,64853,67150,68685,71396,69434,76476,79454,80680,83512,91393,91834,93878,84027,85373,87572,90505,92684,97064,103380,108063,111967,118660,124892,127975,131776,137248,143896,149065,155665,160576,162873,165398,168003,172824,178816,183848,187357,191202,193714,197127,202841,202475,202420,204054,205186,207247,209507,211612,213787
 "04027","Yuma, AZ*",6,CAINC1,3,"...","Per capita personal income (dollars) 2/","Dollars",3503,3828,4195,4421,4713,5806,6223,6348,6553,7198,8419,8665,9402,9629,10299,11465,12384,12647,13967,14804,14254,14191,15083,15323,15851,15738,17871,16564,17059,18092,17479,17966,18815,20079,21356,23232,23943,24637,25933,26376,26406,27236,27964,27715,29081,29353,31364,32527,33969,35012,36570
"Note: See the included footnote file."
"CAINC1: Personal Income Summary: Personal Income, Population, Per Capita Personal Income "
"Last updated: November 17, 2020-- new statistics for 2019; revised statistics for 2010-2018."
"Source: U.S. Department of Commerce / Bureau of Economic Analysis / Regional Economic Accounts"
