,state,monthly rent,monthly mortgage
172,Kentucky,159.9736821,308.1291735
173,Louisiana,188.56469009999998,311.662491
174,Maine,147.3839597,357.0995183
175,Maryland,313.49692610000005,787.3913781
176,Massachusetts,326.4372083,676.7525664
177,Michigan,164.2444534,408.0410211
178,Minnesota,179.0829768,575.8100936000001
179,Mississippi,150.7009707,271.2494799
180,Missouri,176.7093607,387.07492169999995
181,Montana,157.4202774,342.9311064
182,Nebraska,185.40839269999998,380.0458831
183,Nevada,357.8654403,574.6270227000001
184,New Hampshire,209.48792930000002,583.5538514
185,New Jersey,341.09045760000004,789.5214417000001
186,New Mexico,175.90473269999998,358.19406969999994
187,New York,432.2110608,505.45524589999997
188,North Carolina,196.4869345,395.3088455
189,North Dakota,171.5661022,270.68622569999997
190,Ohio,191.70183290000003,386.9270045
191,Oklahoma,174.13497769999998,290.7690718
192,Oregon,286.4916541,505.47222239999996
193,Pennsylvania,197.75371830000003,414.457554
194,Rhode Island,287.0707594,568.3776151000001
195,South Carolina,169.76032030000002,351.63007749999997
196,South Dakota,152.00026599999998,314.6005961
197,Tennessee,179.0851834,366.65475610000004
198,Texas,254.73461719999997,378.5020484
199,Utah,216.4010873,586.6982452999999
200,Vermont,183.6834235,395.29330899999997
201,Virginia,291.0303401,665.2918921
202,Washington,312.1671981,630.1020006
203,West Virginia,109.4980263,215.3690451
204,Wisconsin,195.6549725,424.57685089999995
205,Wyoming,161.4479479,413.3370756
206,Alabama,159.0106437,315.98284049999995
207,Alaska,278.1995701,521.3928647
208,Arizona,251.32564390000002,457.18911399999996
209,Arkansas,167.898212,260.19608930000004
210,California,489.91517130000005,700.6352853
211,Colorado,275.1024129,598.769152
212,Connecticut,299.2277184,750.3279633999999
213,Delaware,204.271877,517.5653116999999
214,District of Columbia,625.3523461,560.9916587
215,Florida,240.2663066,419.0815726
216,Georgia,233.2697179,455.96428729999997
217,Hawaii,468.9709111,640.5647087
218,Idaho,175.6700332,425.26870599999995
219,Illinois,255.90629700000002,541.9607312
220,Indiana,179.5150863,367.7005518
221,Iowa,161.7570918,355.499886
222,Kansas,198.5621841,382.8645105
223,Kentucky,163.41003940000002,306.4388274
224,Louisiana,195.78735,304.0986348
225,Maine,143.39055990000003,339.4191912
226,Maryland,335.3119472,771.4990878
227,Massachusetts,348.44265,643.2468894
228,Michigan,172.0843281,388.46087739999996
229,Minnesota,189.6820055,555.9578594999999
230,Mississippi,156.0565212,257.7250762
231,Missouri,181.30586730000002,375.1809499
232,Montana,152.2543881,361.0970671
233,Nebraska,197.6216388,361.6740134
234,Nevada,361.7094037,512.1837167
235,New Hampshire,225.6014901,571.6533311000001
236,New Jersey,341.5788286,774.8817407
237,New Mexico,187.2267363,360.01989489999994
238,New York,444.2459883,495.09069139999997
239,North Carolina,201.4529684,391.9881795
240,North Dakota,165.31899819999998,277.41662189999994
241,Ohio,192.5734993,385.5560776
242,Oklahoma,175.84950049999998,304.87955439999996
243,Oregon,290.558713,495.73827479999994
244,Pennsylvania,205.46336409999998,415.85371910000003
245,Rhode Island,290.48170330000005,533.6493128999999
246,South Carolina,180.9989857,340.149925
247,South Dakota,161.8079916,327.99778039999995
248,Tennessee,188.2352169,348.84991260000004
249,Texas,259.4974156,379.70809429999997
250,Utah,221.08084159999999,573.6950787999999
251,Vermont,189.9845521,369.7761374
252,Virginia,303.4202395,653.1901407
253,Washington,316.1669234,604.2088539
254,West Virginia,110.21048090000001,217.5818992
255,Wisconsin,199.1012761,414.4326779
256,Wyoming,170.2819479,371.30624589999996
257,Alabama,167.6768998,308.6000543
258,Alaska,310.2149192,504.22389469999996
259,Arizona,261.40381060000004,419.36089389999995
260,Arkansas,174.75401200000002,267.6173174
261,California,502.71137289999996,675.849338
262,Colorado,303.56190219999996,577.1680692000001
263,Connecticut,304.6912108,718.137055
264,Delaware,226.9174946,472.5341318
265,District of Columbia,686.7600466,558.0084508
266,Florida,255.10349480000002,399.14144489999995
267,Georgia,249.58474339999998,424.64771619999993
268,Hawaii,494.1188518999999,597.6475644999999
269,Idaho,189.32262450000002,393.26910380000004
270,Illinois,262.3659856,522.0749068
271,Indiana,188.8662078,353.3111159
272,Iowa,165.0807071,358.8325645
273,Kansas,202.0357733,376.1273501
274,Kentucky,161.5183246,305.338446
275,Louisiana,204.5183034,299.82422510000004
276,Maine,163.882165,337.9313967
277,Maryland,342.8463099,759.8719267999999
278,Massachusetts,359.66293199999996,634.6896569
279,Michigan,178.12421899999998,367.0099566
280,Minnesota,190.37246480000002,539.9285723999999
281,Mississippi,159.2155247,253.9633582
282,Missouri,193.6410298,371.7307627
283,Montana,171.3083693,335.8807849
284,Nebraska,205.9293494,378.5419717
285,Nevada,357.2274881,448.7194187
286,New Hampshire,220.2117332,562.2635964
287,New Jersey,355.71398089999997,762.7538022000001
288,New Mexico,192.984602,357.55675160000004
289,New York,463.93149739999996,488.01690779999996
290,North Carolina,209.82623109999997,384.3510363
291,North Dakota,182.49417549999998,284.23160110000003
292,Ohio,204.3933038,374.69726860000003
293,Oklahoma,187.841879,300.7429033
294,Oregon,311.922706,472.2111808
295,Pennsylvania,216.24656980000003,412.1123491
296,Rhode Island,309.38674439999994,521.5409486000001
297,South Carolina,182.0581281,339.65243849999996
298,South Dakota,163.7220023,318.6040636
299,Tennessee,199.92056730000002,345.140296
300,Texas,272.48638989999995,370.8966136
301,Utah,229.0462772,540.2760579
302,Vermont,182.0046149,387.7978945
303,Virginia,314.0048636,633.3257437000001
304,Washington,331.9766113,591.410032
305,West Virginia,120.04343290000001,214.13858369999997
306,Wisconsin,210.2012653,399.07579910000004
307,Wyoming,184.9186455,387.103301
308,Alabama,171.3460465,299.021665
309,Alaska,326.9436007,499.58992699999993
310,Arizona,287.3798291,385.469452
311,Arkansas,179.6059862,260.28199
312,California,529.7371983,644.908918
313,Colorado,313.5556207,564.1494
314,Connecticut,315.3496581,706.6113339999999
315,Delaware,236.41901209999997,486.600291
316,District of Columbia,693.938454,577.073976
317,Florida,270.8223984,377.270773
318,Georgia,258.3589085,416.76160899999996
319,Hawaii,506.68291550000004,608.501393
320,Idaho,191.9352022,403.42528300000004
321,Illinois,272.7523232,518.0500559999999
322,Indiana,190.5493325,346.341625
323,Iowa,171.7533126,361.88218
324,Kansas,229.7015063,371.72245499999997
325,Kentucky,180.04748519999998,303.05560499999996
326,Louisiana,209.9764733,309.584155
327,Maine,167.83088759999998,323.627447
328,Maryland,354.92050919999997,742.536192
329,Massachusetts,361.4978604,640.1582480000001
330,Michigan,187.5199461,355.668809
331,Minnesota,215.9110989,519.688324
332,Mississippi,161.0698935,251.65763900000002
333,Missouri,200.5917936,358.18088
334,Montana,176.9033612,350.131594
335,Nebraska,213.0006329,383.14004900000003
336,Nevada,379.0419008,414.89519
337,New Hampshire,232.69309159999997,541.101262
338,New Jersey,366.7229383,758.659336
339,New Mexico,203.760568,351.688879
340,New York,477.4317067,489.153489
341,North Carolina,221.8099248,373.031746
342,North Dakota,218.36225770000001,292.429377
343,Ohio,212.44906919999997,360.550862
344,Oklahoma,199.22595769999998,293.70694100000003
345,Oregon,313.5010992,471.065511
346,Pennsylvania,224.72910750000003,411.135205
347,Rhode Island,305.9394079,519.767929
348,South Carolina,195.6918825,325.905479
349,South Dakota,179.3182945,322.205856
350,Tennessee,208.778174,341.177416
351,Texas,284.5748839,368.356383
352,Utah,240.7229621,553.867635
353,Vermont,202.6570396,358.439232
354,Virginia,332.2140676,626.408508
355,Washington,342.1274126,575.787106
356,West Virginia,124.69346850000001,207.153593
357,Wisconsin,214.00568819999998,392.449472
358,Wyoming,191.49284519999998,374.848741
359,Alabama,182.1332449,284.50642660000005
360,Alaska,322.95151860000004,454.96254270000003
361,Arizona,290.0252673,366.5987728
362,Arkansas,182.2581252,249.1230424
363,California,546.4063051,616.1841375
364,Colorado,320.1340948,543.644573
365,Connecticut,320.92994219999997,680.8652485
366,Delaware,223.44655899999998,462.07657489999997
367,District of Columbia,747.9212377,530.6451357
368,Florida,280.9361498,349.395654
369,Georgia,274.4192253,391.805812
370,Hawaii,548.1145742000001,608.0660644
371,Idaho,201.07492549999998,385.5302784
372,Illinois,286.3763918,479.14506600000004
373,Indiana,205.7252253,334.77750960000003
374,Iowa,184.6645327,334.2731491
375,Kansas,230.0696912,355.8620776
376,Kentucky,184.6779841,294.5406866
377,Louisiana,215.8112264,300.7018178
378,Maine,176.9925035,303.345272
379,Maryland,367.9524249,705.2541855000001
380,Massachusetts,382.8685753,611.2963459
381,Michigan,193.3332105,333.9157526
382,Minnesota,218.24039390000002,505.81549119999994
383,Mississippi,179.6847861,240.1257349
384,Missouri,211.7352629,346.68916989999997
385,Montana,195.61674219999998,338.5285538
386,Nebraska,229.56032059999998,369.2517202
387,Nevada,382.51466969999996,368.81113389999996
388,New Hampshire,250.8047708,514.6748623999999
389,New Jersey,382.2367642,708.1484805
390,New Mexico,201.0323444,332.21285689999996
391,New York,487.468453,472.7311716
392,North Carolina,235.3830689,355.1643474
393,North Dakota,242.39814559999996,281.3012411
394,Ohio,217.9257337,349.9501234
395,Oklahoma,206.8498827,295.0031111
396,Oregon,329.57453239999995,452.23835419999995
397,Pennsylvania,231.8970766,395.1060367
398,Rhode Island,314.8623527,491.30999569999994
399,South Carolina,198.0379075,325.8942164
400,South Dakota,182.9779691,295.4978377
401,Tennessee,215.71191040000002,329.55384060000006
402,Texas,300.0965705,360.988319
403,Utah,248.5048889,513.2450614
404,Vermont,193.4489066,337.0379643
405,Virginia,354.2236799,593.2328307999999
406,Washington,358.5160786,551.6868873
407,West Virginia,127.37856940000002,214.8429222
408,Wisconsin,218.1940329,372.88667210000006
409,Wyoming,197.6520712,371.7545419
410,Alabama,184.5546659,287.039276
411,Alaska,350.78478210000003,490.08938600000005
412,Arizona,306.80958030000005,359.06464700000004
413,Arkansas,185.8925822,244.25790800000001
414,California,568.2118327000001,612.493043
415,Colorado,340.952581,554.233504
416,Connecticut,338.229201,682.6857
417,Delaware,256.2232992,471.751886
418,District of Columbia,800.5441433999999,509.050081
419,Florida,298.964025,339.320894
420,Georgia,284.10941210000004,383.46656
421,Hawaii,560.0863072000001,591.352227
422,Idaho,206.565792,375.444345
423,Illinois,295.7686038,471.593188
424,Indiana,208.3794425,332.168053
425,Iowa,187.5120217,346.451613
426,Kansas,233.07335719999998,350.858842
427,Kentucky,193.9807398,288.176628
428,Louisiana,229.54305809999997,286.316891
429,Maine,156.6094479,333.595665
430,Maryland,379.72728010000003,697.651969
431,Massachusetts,393.4627599,611.783332
432,Michigan,201.21289919999998,330.499129
433,Minnesota,221.48429500000003,502.084242
434,Mississippi,178.6048042,242.95130099999997
435,Missouri,217.16542489999998,343.205386
436,Montana,194.5237765,321.470454
437,Nebraska,232.2345363,365.3202
438,Nevada,395.92416569999995,357.538497
439,New Hampshire,249.70662969999998,535.621337
440,New Jersey,401.3928887,704.410894
441,New Mexico,213.079837,319.74872
442,New York,510.59929189999997,470.12848899999995
443,North Carolina,245.66191030000002,359.194787
444,North Dakota,259.01705400000003,266.371593
445,Ohio,226.7729711,343.392085
446,Oklahoma,216.4245179,290.113106
447,Oregon,340.9965283,436.193066
448,Pennsylvania,237.6767972,395.878506
449,Rhode Island,340.048702,474.30599000000007
450,South Carolina,209.4273938,311.668911
451,South Dakota,188.3880116,318.677975
452,Tennessee,223.91977119999999,332.438109
453,Texas,319.940155,360.89415299999996
454,Utah,250.265791,532.554353
455,Vermont,211.33072310000003,371.800942
456,Virginia,360.24327239999997,602.367349
457,Washington,373.0466306,547.805813
458,West Virginia,133.8066663,198.3393
459,Wisconsin,232.04016439999998,378.277216
460,Wyoming,232.51955780000003,364.654425
461, -> Total,14874.57201,287.039276
462,Alabama,180.65190900000002,490.08938600000005
463,Alaska,341.0697683,359.06464700000004
464,Arizona,303.59990689999995,244.25790800000001
465,Arkansas,196.9341087,612.493043
466,California,590.7903246000001,554.233504
467,Colorado,371.51917960000003,682.6857
468,Connecticut,346.74679419999995,471.751886
469,Delaware,243.3064372,509.050081
470,District of Columbia,799.9675513,339.320894
471,Florida,317.11723010000003,383.46656
472,Georgia,301.37989419999997,591.352227
473,Hawaii,564.8941574,375.444345
474,Idaho,199.979741,471.593188
475,Illinois,311.6701843,332.168053
476,Indiana,214.2910239,346.451613
477,Iowa,194.68239690000001,350.858842
478,Kansas,237.26162999999997,288.176628
479,Kentucky,202.6947964,286.316891
480,Louisiana,228.8166858,333.595665
481,Maine,164.8054421,697.651969
482,Maryland,389.2279293,611.783332
483,Massachusetts,413.0961749,330.499129
484,Michigan,204.74906909999999,502.084242
485,Minnesota,239.9688755,242.95130099999997
486,Mississippi,185.73433740000002,343.205386
487,Missouri,226.7726662,321.470454
488,Montana,206.5469546,365.3202
489,Nebraska,240.48916769999997,357.538497
490,Nevada,406.1505797,535.621337
491,New Hampshire,252.95131260000002,704.410894
492,New Jersey,410.0027072,319.74872
493,New Mexico,203.7554862,470.12848899999995
494,New York,517.3181632000001,359.194787
495,North Carolina,253.5284483,266.371593
496,North Dakota,256.88518250000004,343.392085
497,Ohio,233.9261188,290.113106
498,Oklahoma,212.083654,436.193066
499,Oregon,343.9374766,395.878506
500,Pennsylvania,247.2822994,474.30599000000007
501,Rhode Island,334.7233842,311.668911
502,South Carolina,215.75455330000003,318.677975
503,South Dakota,187.89240800000002,332.438109
504,Tennessee,231.5608298,360.89415299999996
505,Texas,333.400863,532.554353
506,Utah,263.87560890000003,371.800942
507,Vermont,202.86875680000003,602.367349
508,Virginia,370.2349107,547.805813
509,Washington,383.1538519,198.3393
510,West Virginia,141.5343604,378.277216
511,Wisconsin,232.7429574,364.654425
512,Wyoming,220.24375719999998,
513,Alabama,185.4858092,293.5104691
514,Alaska,326.4456951,469.4396534
515,Arizona,308.40062830000005,395.09041460000003
516,Arkansas,199.6198822,249.13458430000003
517,California,616.9735092,645.9516027000001
518,Colorado,375.56015160000004,589.5266987000001
519,Connecticut,363.9696694,673.6790771000001
520,Delaware,260.08167000000003,443.3247041999999
521,District of Columbia,783.5479578,547.7672066
522,Florida,325.4026415,353.685854
523,Georgia,316.24269189999995,397.65126660000004
524,Hawaii,564.2857457,611.2115755
525,Idaho,213.32668309999997,397.271517
526,Illinois,317.9153522,479.40442879999995
527,Indiana,216.58114410000002,340.3205309
528,Iowa,197.1000415,372.3812441
529,Kansas,247.0613079,363.34238930000004
530,Kentucky,194.55144109999998,302.0668435
531,Louisiana,233.3773661,298.2764818
532,Maine,159.1740003,333.1037185
533,Maryland,398.371299,716.9577155000001
534,Massachusetts,420.27772400000003,652.6355635
535,Michigan,212.10228360000002,344.93994910000004
536,Minnesota,244.48272459999998,519.7379716
537,Mississippi,185.5324805,249.0594267
538,Missouri,227.2745395,347.7338305
539,Montana,187.626177,370.27276800000004
540,Nebraska,245.6283241,376.34765130000005
541,Nevada,405.85078639999995,395.4767855
542,New Hampshire,254.788265,541.3080699
543,New Jersey,419.34979500000003,725.2281468
544,New Mexico,212.9888344,303.637344
545,New York,525.4944336,475.1568317
546,North Carolina,256.0440578,365.5058966
547,North Dakota,245.6266914,303.8954537
548,Ohio,239.2103383,351.39196810000004
