Selected Geographies,Gross rent (monthly amount),PUMS Monthly mortgage payment
 -> Total,14874.57201,287.039276
Alabama,180.651909,490.089386
Alaska,341.0697683,359.064647
Arizona,303.5999069,244.257908
Arkansas,196.9341087,612.493043
California,590.7903246,554.233504
Colorado,371.5191796,682.6857
Connecticut,346.7467942,471.751886
Delaware,243.3064372,509.050081
District of Columbia,799.9675513,339.320894
Florida,317.1172301,383.46656
Georgia,301.3798942,591.352227
Hawaii,564.8941574,375.444345
Idaho,199.979741,471.593188
Illinois,311.6701843,332.168053
Indiana,214.2910239,346.451613
Iowa,194.6823969,350.858842
Kansas,237.26163,288.176628
Kentucky,202.6947964,286.316891
Louisiana,228.8166858,333.595665
Maine,164.8054421,697.651969
Maryland,389.2279293,611.783332
Massachusetts,413.0961749,330.499129
Michigan,204.7490691,502.084242
Minnesota,239.9688755,242.951301
Mississippi,185.7343374,343.205386
Missouri,226.7726662,321.470454
Montana,206.5469546,365.3202
Nebraska,240.4891677,357.538497
Nevada,406.1505797,535.621337
New Hampshire,252.9513126,704.410894
New Jersey,410.0027072,319.74872
New Mexico,203.7554862,470.128489
New York,517.3181632,359.194787
North Carolina,253.5284483,266.371593
North Dakota,256.8851825,343.392085
Ohio,233.9261188,290.113106
Oklahoma,212.083654,436.193066
Oregon,343.9374766,395.878506
Pennsylvania,247.2822994,474.30599
Rhode Island,334.7233842,311.668911
South Carolina,215.7545533,318.677975
South Dakota,187.892408,332.438109
Tennessee,231.5608298,360.894153
Texas,333.400863,532.554353
Utah,263.8756089,371.800942
Vermont,202.8687568,602.367349
Virginia,370.2349107,547.805813
Washington,383.1538519,198.3393
West Virginia,141.5343604,378.277216
Wisconsin,232.7429574,364.654425
Wyoming,220.2437572,
