Selected Geographies,Gross rent (monthly amount),PUMS Monthly mortgage payment
Alabama,193.4915504,285.4753786
Alaska,323.6792607,479.1052231
Arizona,320.241238,434.7661598
Arkansas,205.1282784,261.5501814
California,656.2416451,697.4906053
Colorado,403.561524,639.2420986
Connecticut,367.7346789,689.1602415
Delaware,261.7472843,472.843726
District of Columbia,830.8521305,655.6920198
Florida,335.345942,385.1928435
Georgia,317.9755417,434.0000828
Hawaii,578.5873749,609.2511931
Idaho,218.2062653,427.6878115
Illinois,324.5857052,501.7615405
Indiana,230.0202233,357.812859
Iowa,197.3511615,384.6327272
Kansas,254.2858554,383.3604935
Kentucky,206.5247338,306.4777968
Louisiana,234.9328772,302.8669528
Maine,182.8735333,334.2694323
Maryland,401.4270079,748.6942796
Massachusetts,461.4929618,673.6499346
Michigan,214.5479869,360.0788402
Minnesota,259.7982063,538.5944242
Mississippi,189.9280363,246.4289665
Missouri,234.7955697,365.765498
Montana,214.4072164,379.7743851
Nebraska,257.1856485,386.8558303
Nevada,432.2675199,453.5138285
New Hampshire,268.0046292,551.3225999
New Jersey,441.3666479,741.8774841
New Mexico,226.2361179,317.9513312
New York,559.017552,489.2616706
North Carolina,269.4475816,382.6928146
North Dakota,261.551394,316.1451037
Ohio,246.4937555,366.480647
Oklahoma,232.8222645,308.5887568
Oregon,390.6354775,532.4577326
Pennsylvania,264.9862309,422.9977813
Rhode Island,331.6995373,522.013113
South Carolina,222.2722833,347.4475379
South Dakota,205.4968227,334.7512339
Tennessee,250.5069168,357.2309956
Texas,358.4828823,415.3040925
Utah,285.2526302,598.9645733
Vermont,213.8797952,377.7885582
Virginia,384.7809499,631.3871814
Washington,460.018705,651.2196009
West Virginia,140.944456,217.9956744
Wisconsin,250.2288597,392.2528223
Wyoming,202.6925399,404.8540459
