Selected Geographies,Gross rent (monthly amount),PUMS Monthly mortgage payment
Alabama,185.6257827,293.5104691
Alaska,345.1855487,469.4396534
Arizona,309.9469376,395.0904146
Arkansas,201.5730967,249.1345843
California,632.1757939,645.9516027
Colorado,388.813139,589.5266987
Connecticut,346.5726839,673.6790771
Delaware,243.9699991,443.3247042
District of Columbia,806.7950248,547.7672066
Florida,328.6360892,353.685854
Georgia,312.8268316,397.6512666
Hawaii,565.1984953,611.2115755
Idaho,212.8361277,397.271517
Illinois,309.4841863,479.4044288
Indiana,217.4320815,340.3205309
Iowa,192.7995219,372.3812441
Kansas,250.5269003,363.3423893
Kentucky,205.5759262,302.0668435
Louisiana,228.8620918,298.2764818
Maine,147.7136124,333.1037185
Maryland,398.4288645,716.9577155
Massachusetts,431.0084354,652.6355635
Michigan,209.2851014,344.9399491
Minnesota,248.8657647,519.7379716
Mississippi,174.9257354,249.0594267
Missouri,224.8581555,347.7338305
Montana,202.8204926,370.272768
Nebraska,249.4919681,376.3476513
Nevada,414.9338771,395.4767855
New Hampshire,279.3132195,541.3080699
New Jersey,419.8195974,725.2281468
New Mexico,214.774104,303.637344
New York,529.2045535,475.1568317
North Carolina,256.3797397,365.5058966
North Dakota,238.0099842,303.8954537
Ohio,239.9919344,351.3919681
Oklahoma,222.2847837,300.7823543
Oregon,372.6266783,485.2814615
Pennsylvania,252.2146113,405.0930616
Rhode Island,320.5576702,464.5705559
South Carolina,219.1141574,334.1412652
South Dakota,204.7685267,349.8833798
Tennessee,250.4816292,336.5708412
Texas,341.297847,388.1707054
Utah,267.8168141,542.383282
Vermont,224.439582,385.3831625
Virginia,358.8477692,610.6398985
Washington,426.595401,587.2577241
West Virginia,136.8194163,216.294033
Wisconsin,246.81051,376.5436961
Wyoming,195.1918058,372.5773894
