Selected Geographies,Gross rent (monthly amount),PUMS Monthly mortgage payment
Alabama,128.6599613,20486.6347
Alaska,242.0475108,288.004046
Arizona,213.8965339,447.301023
Arkansas,145.6286927,476.80681
California,414.5536946,240.713421
Colorado,224.6611779,711.791832
Connecticut,260.6026748,592.07854
Delaware,172.9763782,692.007363
District of Columbia,471.9342312,440.183093
Florida,219.3141868,529.437504
Georgia,203.0796906,439.612753
Hawaii,380.1255927,440.924363
Idaho,155.2247853,594.062729
Illinois,212.5047673,393.889781
Indiana,153.3025546,524.988375
Iowa,141.2430916,366.906913
Kansas,166.7385453,327.874087
Kentucky,132.3824123,363.469194
Louisiana,154.413225,288.942518
Maine,132.2114144,261.996122
Maryland,266.3630609,324.250383
Massachusetts,303.0330957,700.889244
Michigan,145.1094687,619.413401
Minnesota,151.3649441,420.850671
Mississippi,127.7433559,548.804269
Missouri,152.778483,242.978374
Montana,141.1211998,362.571178
Nebraska,178.5532663,312.482772
Nevada,313.8220822,344.9361
New Hampshire,203.6563763,578.628671
New Jersey,294.7429804,536.733758
New Mexico,154.4255363,712.979669
New York,377.1844135,330.242018
North Carolina,171.5932004,459.488824
North Dakota,147.8114059,355.61016
Ohio,168.893336,249.888691
Oklahoma,152.4654707,382.399627
Oregon,237.416294,265.047486
Pennsylvania,169.6147204,466.167902
Rhode Island,274.6846326,377.098391
South Carolina,147.6421858,487.713978
South Dakota,139.2173443,325.564154
Tennessee,156.5241142,291.519065
Texas,219.092955,335.517689
Utah,181.9324148,353.743587
Vermont,159.6770996,510.832362
Virginia,236.2812394,363.222447
Washington,257.0539557,607.603589
West Virginia,95.13042809,198.465738
Wisconsin,168.9261168,
Wyoming,151.3753973,
