Selected Geographies,Gross rent (monthly amount),PUMS Monthly mortgage payment
Alabama,195.9092512,302.4468179
Alaska,323.8023116,491.5642814
Arizona,330.8888499,448.201294
Arkansas,205.3495237,265.8271314
California,687.1431568,713.6196179
Colorado,418.0514531,705.3150433
Connecticut,381.2551596,687.9248452
Delaware,273.9520443,516.7299691
District of Columbia,864.1886721,694.1324912
Florida,345.8712898,404.6191818
Georgia,329.5730015,453.6142935
Hawaii,561.1712579,685.8890698
Idaho,225.1767124,471.0144759
Illinois,330.9214719,516.5366372
Indiana,229.8370242,369.2961044
Iowa,217.1391851,390.7915452
Kansas,262.2518949,382.9950933
Kentucky,212.4773256,318.6846304
Louisiana,223.1867406,311.9775369
Maine,177.7048141,357.3130297
Maryland,416.0866892,765.3863718
Massachusetts,481.0543735,707.279734
Michigan,220.9195083,373.2575876
Minnesota,265.060972,556.7536293
Mississippi,185.8952718,251.6427668
Missouri,242.6893564,375.9565415
Montana,221.4330843,422.9284838
Nebraska,268.4315839,422.0736401
Nevada,455.7998329,474.9022409
New Hampshire,273.2699121,585.4943469
New Jersey,467.2304659,753.8977318
New Mexico,220.7554335,340.3348192
New York,577.3999391,510.6607752
North Carolina,273.402657,399.3519608
North Dakota,280.97718,317.3389758
Ohio,254.5789689,373.4564772
Oklahoma,234.2174551,325.8246971
Oregon,402.8495993,562.0560791
Pennsylvania,273.1829239,432.0321803
Rhode Island,337.6980222,515.8568922
South Carolina,224.7035057,375.5386448
South Dakota,200.942937,379.072849
Tennessee,264.2963674,374.1424108
Texas,375.7801153,433.6038957
Utah,296.6383163,630.6737036
Vermont,221.2919696,385.7966896
Virginia,387.5588562,658.7353156
Washington,471.9151303,684.1774374
West Virginia,134.1486453,230.9150051
Wisconsin,257.6614201,400.4862061
Wyoming,189.6950739,435.1714173
