Selected Geographies,Gross rent (monthly amount),PUMS Monthly mortgage payment
Alabama,185.4858092,293.5104691
Alaska,326.4456951,469.4396534
Arizona,308.4006283,395.0904146
Arkansas,199.6198822,249.1345843
California,616.9735092,645.9516027
Colorado,375.5601516,589.5266987
Connecticut,363.9696694,673.6790771
Delaware,260.08167,443.3247042
District of Columbia,783.5479578,547.7672066
Florida,325.4026415,353.685854
Georgia,316.2426919,397.6512666
Hawaii,564.2857457,611.2115755
Idaho,213.3266831,397.271517
Illinois,317.9153522,479.4044288
Indiana,216.5811441,340.3205309
Iowa,197.1000415,372.3812441
Kansas,247.0613079,363.3423893
Kentucky,194.5514411,302.0668435
Louisiana,233.3773661,298.2764818
Maine,159.1740003,333.1037185
Maryland,398.371299,716.9577155
Massachusetts,420.277724,652.6355635
Michigan,212.1022836,344.9399491
Minnesota,244.4827246,519.7379716
Mississippi,185.5324805,249.0594267
Missouri,227.2745395,347.7338305
Montana,187.626177,370.272768
Nebraska,245.6283241,376.3476513
Nevada,405.8507864,395.4767855
New Hampshire,254.788265,541.3080699
New Jersey,419.349795,725.2281468
New Mexico,212.9888344,303.637344
New York,525.4944336,475.1568317
North Carolina,256.0440578,365.5058966
North Dakota,245.6266914,303.8954537
Ohio,239.2103383,351.3919681
Oklahoma,223.5760741,300.7823543
Oregon,367.5413504,485.2814615
Pennsylvania,251.2121684,405.0930616
Rhode Island,349.981565,464.5705559
South Carolina,216.5823092,334.1412652
South Dakota,201.5428149,349.8833798
Tennessee,247.3873246,336.5708412
Texas,340.6084192,388.1707054
Utah,264.3406229,542.383282
Vermont,209.5659057,385.3831625
Virginia,369.643289,610.6398985
Washington,410.3870805,587.2577241
West Virginia,140.7285967,216.294033
Wisconsin,235.7937989,376.5436961
Wyoming,213.2635344,372.5773894
