Selected Geographies,Gross rent (monthly amount),PUMS Monthly mortgage payment
Alabama,171.3460465,299.021665
Alaska,326.9436007,499.589927
Arizona,287.3798291,385.469452
Arkansas,179.6059862,260.28199
California,529.7371983,644.908918
Colorado,313.5556207,564.1494
Connecticut,315.3496581,706.611334
Delaware,236.4190121,486.600291
District of Columbia,693.938454,577.073976
Florida,270.8223984,377.270773
Georgia,258.3589085,416.761609
Hawaii,506.6829155,608.501393
Idaho,191.9352022,403.425283
Illinois,272.7523232,518.050056
Indiana,190.5493325,346.341625
Iowa,171.7533126,361.88218
Kansas,229.7015063,371.722455
Kentucky,180.0474852,303.055605
Louisiana,209.9764733,309.584155
Maine,167.8308876,323.627447
Maryland,354.9205092,742.536192
Massachusetts,361.4978604,640.158248
Michigan,187.5199461,355.668809
Minnesota,215.9110989,519.688324
Mississippi,161.0698935,251.657639
Missouri,200.5917936,358.18088
Montana,176.9033612,350.131594
Nebraska,213.0006329,383.140049
Nevada,379.0419008,414.89519
New Hampshire,232.6930916,541.101262
New Jersey,366.7229383,758.659336
New Mexico,203.760568,351.688879
New York,477.4317067,489.153489
North Carolina,221.8099248,373.031746
North Dakota,218.3622577,292.429377
Ohio,212.4490692,360.550862
Oklahoma,199.2259577,293.706941
Oregon,313.5010992,471.065511
Pennsylvania,224.7291075,411.135205
Rhode Island,305.9394079,519.767929
South Carolina,195.6918825,325.905479
South Dakota,179.3182945,322.205856
Tennessee,208.778174,341.177416
Texas,284.5748839,368.356383
Utah,240.7229621,553.867635
Vermont,202.6570396,358.439232
Virginia,332.2140676,626.408508
Washington,342.1274126,575.787106
West Virginia,124.6934685,207.153593
Wisconsin,214.0056882,392.449472
Wyoming,191.4928452,374.848741
