Selected Geographies,Gross rent (monthly amount),PUMS Monthly mortgage payment
Alabama,167.6768998,308.6000543
Alaska,310.2149192,504.2238947
Arizona,261.4038106,419.3608939
Arkansas,174.754012,267.6173174
California,502.7113729,675.849338
Colorado,303.5619022,577.1680692
Connecticut,304.6912108,718.137055
Delaware,226.9174946,472.5341318
District of Columbia,686.7600466,558.0084508
Florida,255.1034948,399.1414449
Georgia,249.5847434,424.6477162
Hawaii,494.1188519,597.6475645
Idaho,189.3226245,393.2691038
Illinois,262.3659856,522.0749068
Indiana,188.8662078,353.3111159
Iowa,165.0807071,358.8325645
Kansas,202.0357733,376.1273501
Kentucky,161.5183246,305.338446
Louisiana,204.5183034,299.8242251
Maine,163.882165,337.9313967
Maryland,342.8463099,759.8719268
Massachusetts,359.662932,634.6896569
Michigan,178.124219,367.0099566
Minnesota,190.3724648,539.9285724
Mississippi,159.2155247,253.9633582
Missouri,193.6410298,371.7307627
Montana,171.3083693,335.8807849
Nebraska,205.9293494,378.5419717
Nevada,357.2274881,448.7194187
New Hampshire,220.2117332,562.2635964
New Jersey,355.7139809,762.7538022
New Mexico,192.984602,357.5567516
New York,463.9314974,488.0169078
North Carolina,209.8262311,384.3510363
North Dakota,182.4941755,284.2316011
Ohio,204.3933038,374.6972686
Oklahoma,187.841879,300.7429033
Oregon,311.922706,472.2111808
Pennsylvania,216.2465698,412.1123491
Rhode Island,309.3867444,521.5409486
South Carolina,182.0581281,339.6524385
South Dakota,163.7220023,318.6040636
Tennessee,199.9205673,345.140296
Texas,272.4863899,370.8966136
Utah,229.0462772,540.2760579
Vermont,182.0046149,387.7978945
Virginia,314.0048636,633.3257437
Washington,331.9766113,591.410032
West Virginia,120.0434329,214.1385837
Wisconsin,210.2012653,399.0757991
Wyoming,184.9186455,387.103301
