Selected Geographies,Gross rent (monthly amount),PUMS Monthly mortgage payment
Alabama,158.6264852,304.5037753
Alaska,282.0192712,520.5838356
Arizona,244.7585144,494.7463225
Arkansas,166.8395151,263.437412
California,477.1523156,739.7076925
Colorado,262.3746401,625.2822545
Connecticut,291.6699054,767.785571
Delaware,202.2199889,530.8453428
District of Columbia,565.5273842,570.2816625
Florida,241.7718951,443.9856834
Georgia,218.9823074,468.7563631
Hawaii,486.3954036,668.8037536
Idaho,169.3160422,436.9605135
Illinois,249.6431719,549.9855317
Indiana,177.2122427,371.2012798
Iowa,155.573898,360.2688763
Kansas,196.4217298,384.0431333
Kentucky,159.9736821,308.1291735
Louisiana,188.5646901,311.662491
Maine,147.3839597,357.0995183
Maryland,313.4969261,787.3913781
Massachusetts,326.4372083,676.7525664
Michigan,164.2444534,408.0410211
Minnesota,179.0829768,575.8100936
Mississippi,150.7009707,271.2494799
Missouri,176.7093607,387.0749217
Montana,157.4202774,342.9311064
Nebraska,185.4083927,380.0458831
Nevada,357.8654403,574.6270227
New Hampshire,209.4879293,583.5538514
New Jersey,341.0904576,789.5214417
New Mexico,175.9047327,358.1940697
New York,432.2110608,505.4552459
North Carolina,196.4869345,395.3088455
North Dakota,171.5661022,270.6862257
Ohio,191.7018329,386.9270045
Oklahoma,174.1349777,290.7690718
Oregon,286.4916541,505.4722224
Pennsylvania,197.7537183,414.457554
Rhode Island,287.0707594,568.3776151
South Carolina,169.7603203,351.6300775
South Dakota,152.000266,314.6005961
Tennessee,179.0851834,366.6547561
Texas,254.7346172,378.5020484
Utah,216.4010873,586.6982453
Vermont,183.6834235,395.293309
Virginia,291.0303401,665.2918921
Washington,312.1671981,630.1020006
West Virginia,109.4980263,215.3690451
Wisconsin,195.6549725,424.5768509
Wyoming,161.4479479,413.3370756
