Selected Geographies,Gross rent (monthly amount),PUMS Monthly mortgage payment
Alabama,144.8882671,267.3391663
Alaska,268.035603,458.8508614
Arizona,234.4480029,420.6199523
Arkansas,163.0027747,226.4274307
California,466.101452,642.379108
Colorado,255.1615497,552.6663813
Connecticut,284.3752654,654.1098603
Delaware,202.8012149,414.4066997
District of Columbia,557.7063915,421.2349083
Florida,236.1028787,396.8712982
Georgia,216.4938139,414.2821412
Hawaii,439.848698,523.7216651
Idaho,177.3584062,369.8252087
Illinois,233.7065063,489.0426312
Indiana,165.430279,350.3242564
Iowa,150.9166579,304.3595528
Kansas,184.8379295,342.4691756
Kentucky,147.5531339,283.1820172
Louisiana,177.5981183,253.8938749
Maine,149.1281536,284.8245746
Maryland,298.0322962,636.5086426
Massachusetts,322.2964416,580.8829423
Michigan,159.3550367,407.4123917
Minnesota,171.6145501,518.6016242
Mississippi,145.6928948,232.363676
Missouri,171.9624457,336.9607319
Montana,176.2346163,275.5119019
Nebraska,171.834567,327.1670908
Nevada,358.8744761,514.3074548
New Hampshire,214.6563957,490.2785333
New Jersey,324.9737995,662.8223083
New Mexico,171.5630035,305.1349616
New York,414.0260916,429.3132824
North Carolina,185.3232565,337.397214
North Dakota,161.2707736,235.2002257
Ohio,185.842652,364.6549617
Oklahoma,169.7677144,251.3194736
Oregon,261.3662344,417.3573141
Pennsylvania,192.9375535,357.2342504
Rhode Island,275.6859951,475.9703832
South Carolina,155.9068053,305.8840373
South Dakota,151.5648587,262.0106611
Tennessee,171.6015979,319.8344449
Texas,241.3846434,336.3517471
Utah,204.743323,471.5010188
Vermont,179.0711187,317.8416387
Virginia,275.0544517,561.4465076
Washington,290.8818769,509.5437223
West Virginia,105.019255,195.411091
Wisconsin,184.1550959,375.9728821
Wyoming,158.8942813,290.1092652
