Selected Geographies,Gross rent (monthly amount),PUMS Monthly mortgage payment
Alabama,184.5546659,287.039276
Alaska,350.7847821,490.089386
Arizona,306.8095803,359.064647
Arkansas,185.8925822,244.257908
California,568.2118327,612.493043
Colorado,340.952581,554.233504
Connecticut,338.229201,682.6857
Delaware,256.2232992,471.751886
District of Columbia,800.5441434,509.050081
Florida,298.964025,339.320894
Georgia,284.1094121,383.46656
Hawaii,560.0863072,591.352227
Idaho,206.565792,375.444345
Illinois,295.7686038,471.593188
Indiana,208.3794425,332.168053
Iowa,187.5120217,346.451613
Kansas,233.0733572,350.858842
Kentucky,193.9807398,288.176628
Louisiana,229.5430581,286.316891
Maine,156.6094479,333.595665
Maryland,379.7272801,697.651969
Massachusetts,393.4627599,611.783332
Michigan,201.2128992,330.499129
Minnesota,221.484295,502.084242
Mississippi,178.6048042,242.951301
Missouri,217.1654249,343.205386
Montana,194.5237765,321.470454
Nebraska,232.2345363,365.3202
Nevada,395.9241657,357.538497
New Hampshire,249.7066297,535.621337
New Jersey,401.3928887,704.410894
New Mexico,213.079837,319.74872
New York,510.5992919,470.128489
North Carolina,245.6619103,359.194787
North Dakota,259.017054,266.371593
Ohio,226.7729711,343.392085
Oklahoma,216.4245179,290.113106
Oregon,340.9965283,436.193066
Pennsylvania,237.6767972,395.878506
Rhode Island,340.048702,474.30599
South Carolina,209.4273938,311.668911
South Dakota,188.3880116,318.677975
Tennessee,223.9197712,332.438109
Texas,319.940155,360.894153
Utah,250.265791,532.554353
Vermont,211.3307231,371.800942
Virginia,360.2432724,602.367349
Washington,373.0466306,547.805813
West Virginia,133.8066663,198.3393
Wisconsin,232.0401644,378.277216
Wyoming,232.5195578,364.654425
